82,GPIO,Port3,4,Write
82,GPT,GTIOC7,A,
82,GPT,GTOWLO,,
82,Interrupt,IRQ,9,
82,SCI,I2C,SCL,6
82,SCI,SPI,MISO,6
82,SCI,UART,RX,6
83,Power,VSS,,
84,Power,VCC,,
85,GPIO,Port3,3,Read
85,GPIO,Port3,3,Write
85,GPT,GTIOC7,B,
86,GPIO,Port3,2,Read
86,GPIO,Port3,2,Write
86,GPT,GTIOC4,A,
86,GPT,GTOUUP,,
86,Interrupt,IRQ,5,
86,SCI,I2C,SDA,2
86,SCI,SPI,MOSI,2
86,SCI,UART,TX,2
86,SPI,SS,3,B
87,GPIO,Port3,1,Read
87,GPIO,Port3,1,Write
87,GPT,GTIOC4,B,
87,GPT,GTOULO,,
87,Interrupt,IRQ,6,
87,SCI,I2C,SCL,2
87,SCI,SPI,MISO,2
87,SCI,SPI,SS,9
87,SCI,UART,CTS,9
87,SCI,UART,RTS,9
87,SCI,UART,RX,2
87,SPI,SS,2,B
88,Debug,SWCLK,,
88,GPIO,Port3,0,Read
88,GPIO,Port3,0,Write
88,GPT,GTIOC0,A,A
88,GPT,GTOUUP,,
88,SPI,SS,1,B
89,Debug,SWDIO,,
89,Debug,TMS,,
89,GPIO,Port1,8,Read
89,GPIO,Port1,8,Write
89,GPT,GTIOC0,B,A
89,GPT,GTOULO,,
89,SCI,SPI,SS,9
89,SCI,UART,CTS,9
89,SCI,UART,RTS,9
89,SPI,SS,0,B
90,Clock,CLKOUT,,
90,Debug,SWO,,
90,Debug,TDO,,
90,GPIO,Port1,9,Read
90,GPIO,Port1,9,Write
90,GPT,GTIOC1,A,A
90,GPT,GTOVUP,,
90,SCI,I2C,SDA,9
90,SCI,SPI,MOSI,9
90,SCI,UART,TX,9
90,SPI,MOSI,B,B
91,Debug,TDI,,
91,GPIO,Port1,10,Read
91,GPIO,Port1,10,Write
91,GPT,GTIOC1,B,A
91,GPT,GTOVLO,,
91,Interrupt,IRQ,3,
91,SCI,I2C,SCL,9
91,SCI,SPI,MISO,9
91,SCI,SPI,SS,2
91,SCI,UART,CTS,2
91,SCI,UART,RTS,2
91,SCI,UART,RX,9
91,SPI,MISO,B,B
92,GPIO,Port1,11,Read
92,GPIO,Port1,11,Write
92,GPT,GTIOC3,A,A
92,Interrupt,IRQ,4,
92,SCI,SPI,SCK,2
92,SCI,SPI,SCK,9
92,SPI,CLK,B,B
93,GPIO,Port1,12,Read
93,GPIO,Port1,12,Write
93,GPT,GTIOC3,B,A
93,SCI,I2C,SDA,2
93,SCI,SPI,MOSI,2
93,SCI,SPI,SCK,1
93,SCI,UART,TX,2
93,SPI,SS,0,B
94,GPIO,Port1,13,Read
94,GPIO,Port1,13,Write
94,GPT,GTIOC2,A,
94,SCI,I2C,SCL,2
94,SCI,SPI,MISO,2
94,SCI,UART,RX,2
95,GPIO,Port1,14,Read
95,GPIO,Port1,14,Write
95,GPT,GTIOC2,B,
96,GPIO,Port1,15,Read
96,GPIO,Port1,15,Write
96,GPT,GTIOC4,A,
97,Power,VCC,,
98,Power,VSS,,
99,GPIO,Port6,8,Read
99,GPIO,Port6,8,Write
99,GPT,GTIOC4,B,
100,GPIO,Port6,9,Read
100,GPIO,Port6,9,Write
100,GPT,GTIOC5,A,
101,GPIO,Port6,10,Read
101,GPIO,Port6,10,Write
101,GPT,GTIOC5,B,
102,CAC,Ref,,
102,Clock,CLKOUT,,
102,GPIO,Port6,11,Read
102,GPIO,Port6,11,Write
102,SCI,SPI,SS,7
102,SCI,UART,CTS,7
102,SCI,UART,RTS,7
103,GPIO,Port6,12,Read
103,GPIO,Port6,12,Write
103,SCI,SPI,SCK,7
104,GPIO,Port6,13,Read
104,GPIO,Port6,13,Write
104,SCI,UART,TX,7
105,GPIO,Port6,14,Read
105,GPIO,Port6,14,Write
105,SCI,UART,RX,7
106,GPIO,Port6,15,Read
106,GPIO,Port6,15,Write
107,GPIO,PortA,8,Read
107,GPIO,PortA,8,Write
108,GPIO,PortA,9,Read
108,GPIO,PortA,9,Write
109,GPIO,PortA,10,Read
109,GPIO,PortA,10,Write
110,Power,VCC,,
111,Power,VSS,,
112,Power,VCL,,
113,GPIO,PortA,1,Read
113,GPIO,PortA,1,Write
113,SCI,SPI,SCK,8
114,GPIO,PortA,0,Read
114,GPIO,PortA,0,Write
114,SCI,UART,TX,8
115,GPIO,Port6,7,Read
115,GPIO,Port6,7,Write
115,SCI,UART,RX,8
116,GPIO,Port6,6,Read
116,GPIO,Port6,6,Write
116,SCI,SPI,SS,8
116,SCI,UART,CTS,8
116,SCI,UART,RTS,8
117,GPIO,Port6,5,Read
117,GPIO,Port6,5,Write
117,GPT,GTIOC8,A,
118,GPIO,Port6,4,Read
118,GPIO,Port6,4,Write
118,GPT,GTIOC8,B,
119,GPIO,Port6,3,Read
119,GPIO,Port6,3,Write
119,GPT,GTIOC7,A,
119,SCI,SPI,SS,9
119,SCI,UART,CTS,9
119,SCI,UART,RTS,9
120,GPIO,Port6,2,Read
120,GPIO,Port6,2,Write
120,GPT,GTIOC7,B,
120,SCI,UART,TX,9
121,GPIO,Port6,1,Read
121,GPIO,Port6,1,Write
121,GPT,GTIOC6,A,
121,SCI,UART,RX,9
122,CAC,Ref,,
122,Clock,CLKOUT,,
122,GPIO,Port6,0,Read
122,GPIO,Port6,0,Write
122,GPT,GTIOC6,B,
122,SCI,SPI,SCK,9
123,Power,VCC,,
124,Power,VSS,,
125,GPIO,Port1,7,Read
125,GPIO,Port1,7,Write
125,GPT,GTIOC8,A,
125,Interrupt,KR,7,
125,SCI,SPI,SS,8
125,SCI,UART,CTS,8
125,SCI,UART,RTS,8
126,GPIO,Port1,6,Read
126,GPIO,Port1,6,Write
126,GPT,GTIOC8,B,
126,Interrupt,KR,6,
